regione,provincia,citta,operatore_nome,telefono,whatsapp,portale,n_auto_in_stock_visibili,indirizzo_visibile,flag_residenziale_si_no,flag_micro_operatore_plausibile,multi_brand,accesso_clienti,note,url_profilo_venditore
Marche,AN,Ancona,Dellerbastore Sas,+393343438688,+393343438688,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | segnali_qualita: si,https://www.autoscout24.it/annunci/bmw-x4-xdrive20d-mhev-48v-msport-auto-elettrica-diesel-grigio-cat_ma13mo20364-b12e40c8-d6c9-463a-992f-103ccbc4c50e
Marche,AN,Ancona,MB Motorsport,+393272785160,+393272785160,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: BMW | archetype_est: privato_puro | segnali_qualita: si,https://www.autoscout24.it/annunci/bmw-x7-xdrive-40d-48v-msport-pro-auto-7pti-full-optional-elettrica-diesel-nero-cat_ma13mo75189-dd7542d7-e245-44e6-8ff4-1fa257868cc8
Marche,AN,Ancona,Auto Tscholl,,,autoscout24,4,,no,plausibile,si,DA_VERIFICARE_AL_TELEFONO,"brand: Audi, Mercedes-Benz, Porsche, BMW | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/bmw-530-d-286cv-xdrive-m-sport-led-vircock-opensky-19-navi-elettrica-diesel-nero-cat_ma13mo1652-b111427f-ebf7-4ef3-a44c-ebfb027db675
Marche,AN,Ancona,L.E. Car,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-300-glc-x254-de-phev-amg-line-premium-4matic-auto-elettrica-diesel-argento-cat_ma47mo74551-70b93ce2-3a85-456e-8dc0-cbc61afd9688
Marche,AN,Ancona,F.S. Car Web di Frappietri Silvano,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-220-d-amg-premium-plus-4matic-auto-197-cv-elettrica-diesel-bianco-cat_ma47mo21086-892f098d-22b3-42a5-a0e0-89feaa5fabfb
Marche,AN,Ancona,Centro Assistenza Porsche Livorno,,,autoscout24,8,,no,plausibile,si,DA_VERIFICARE_AL_TELEFONO,"brand: Mercedes-Benz, Porsche | multi_brand: si | archetype_est: micro_operatore | tel_da_recuperare_manuale",https://www.autoscout24.it/annunci/mercedes-benz-sl-43-amg-sl-43-premium-plus-iva-esposta-elettrica-benzina-argento-cat_ma47mo76326-f88013d1-471e-4bcd-9371-1d8c7a6a468f
Marche,AN,Ancona,Parisi Dakar,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Mercedes-Benz | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/mercedes-benz-glc-43-amg-3-0-390cv-4matic-9g-tronic-promo-parisi-group-benzina-grigio-cat_ma47mo74389-cd7d2b11-3e92-475b-825e-72f164049db4
Marche,AN,Ancona,Automobili Le Rondini di Scalea Pierfrancesco,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q8-3-0-tdi-mhev-s-line-quattro-286cv-gancio-traino-elettrica-diesel-grigio-cat_ma9mo74734-ec4b3313-b109-4c91-b1b0-b0ed227e5a33
Marche,AN,Ancona,Eurocar Italia – Outletcars.it,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-q5-sportback-2-0-tdi-mhev+-launch-edition-s-line-quat-elettrica-diesel-grigio-cat_ma9mo19155-9080c17e-2631-4287-bac4-d97df353e488
Marche,AN,Ancona,Audi Zentrum Bologna – Sede di Casalecchio di Reno,,,autoscout24,1,,no,plausibile,no,DA_VERIFICARE_AL_TELEFONO,brand: Audi | archetype_est: privato_puro | tel_da_recuperare_manuale,https://www.autoscout24.it/annunci/audi-a6-avant-40-2-0-tdi-quattro-ultra-s-tronic-business-advanced-colorazione-exclusive-soho-brown-elettrica-diesel-cat_ma9mo1628-a519e923-98ab-44f0-a851-4606e1929440
